ngc_bmu_id,year,output_MWh
ABRBO-1,2016,0.0
ABRBO-1,2017,0.0
ABRBO-1,2018,0.0
ABRBO-1,2019,290247.215
ABRBO-1,2020,312950.561
ABRTW-1,2016,0.0
ABRTW-1,2017,0.0
ABRTW-1,2018,0.0
ABRTW-1,2019,87528.742
ABRTW-1,2020,97037.757
ABTH7,2016,2386727.606
ABTH7,2017,890904.032
ABTH7,2018,173340.222
ABTH7,2019,148814.22
ABTH7,2020,0.0
ABTH7G,2016,30.494
ABTH7G,2017,0.0
ABTH7G,2018,125.456
ABTH7G,2019,54.456
ABTH7G,2020,24.714
ABTH8,2016,2036344.124
ABTH8,2017,935056.718
ABTH8,2018,177871.124
ABTH8,2019,133844.602
ABTH8,2020,0.0
ABTH8G,2016,27.308
ABTH8G,2017,5.3100000000000005
ABTH8G,2018,77.424
ABTH8G,2019,51.558
ABTH8G,2020,18.631999999999998
ABTH9,2016,2476881.294
ABTH9,2017,877525.082
ABTH9,2018,179066.756
ABTH9,2019,435824.0
ABTH9,2020,0.0
ABTH9G,2016,30.244
ABTH9G,2017,24.54
ABTH9G,2018,81.57
ABTH9G,2019,62.014
ABTH9G,2020,26.412
ACHRW-1,2016,0.0
ACHRW-1,2017,0.0
ACHRW-1,2018,0.0
ACHRW-1,2019,102847.986
ACHRW-1,2020,108666.711
AKGLW-2,2016,0.0
AKGLW-2,2017,0.0
AKGLW-2,2018,0.0
AKGLW-2,2019,237362.605
AKGLW-2,2020,217016.119
ANSUW-1,2016,31724.952
ANSUW-1,2017,36265.972
ANSUW-1,2018,45994.267
ANSUW-1,2019,44266.796
ANSUW-1,2020,51728.881
ARCHW-1,2016,126696.28
ARCHW-1,2017,232467.291
ARCHW-1,2018,214805.861
ARCHW-1,2019,232552.852
ARCHW-1,2020,207784.066
ASHWW-1,2016,0.0
ASHWW-1,2017,0.0
ASHWW-1,2018,0.0
ASHWW-1,2019,97166.426
ASHWW-1,2020,103337.445
BABAW-1,2016,134033.198
BABAW-1,2017,149299.31
BABAW-1,2018,134863.295
BABAW-1,2019,138484.935
BABAW-1,2020,113963.646
BAGE-1,2016,2360323.8
BAGE-1,2017,1390345.3
BAGE-1,2018,916399.95
BAGE-1,2019,890141.6
BAGE-1,2020,59484.0
BAGE-2,2016,1520.71
BAGE-2,2017,1618.35
BAGE-2,2018,607.706
BAGE-2,2019,2722.05
BAGE-2,2020,2289.955
BEATO-1,2016,0.0
BEATO-1,2017,0.0
BEATO-1,2018,0.0
BEATO-1,2019,491797.598
BEATO-1,2020,470829.79
BEATO-2,2016,0.0
BEATO-2,2017,0.0
BEATO-2,2018,0.0
BEATO-2,2019,499619.446
BEATO-2,2020,522452.381
BEATO-3,2016,0.0
BEATO-3,2017,0.0
BEATO-3,2018,0.0
BEATO-3,2019,495000.975
BEATO-3,2020,695097.685
BEATO-4,2016,0.0
BEATO-4,2017,0.0
BEATO-4,2018,0.0
BEATO-4,2019,582576.478
BEATO-4,2020,676297.95
BEINW-1,2016,0.0
BEINW-1,2017,0.0
BEINW-1,2018,0.0
BEINW-1,2019,206816.934
BEINW-1,2020,247230.894
BETHW-1,2016,0.0
BETHW-1,2017,0.0
BETHW-1,2018,0.0
BETHW-1,2019,42137.31
BETHW-1,2020,49825.311
BHLAW-1,2016,0.0
BHLAW-1,2017,7727.047
BHLAW-1,2018,190131.641
BHLAW-1,2019,217473.104
BHLAW-1,2020,181799.995
BLKWW-1,2016,0.0
BLKWW-1,2017,0.0
BLKWW-1,2018,0.0
BLKWW-1,2019,154241.692
BLKWW-1,2020,172527.546
BLLA-1,2016,157880.01
BLLA-1,2017,144279.067
BLLA-1,2018,144087.866
BLLA-1,2019,177925.358
BLLA-1,2020,156338.875
BLLA-2,2016,0.0
BLLA-2,2017,0.0
BLLA-2,2018,0.0
BLLA-2,2019,112989.041
BLLA-2,2020,113895.2
BNWKW-1,2016,0.0
BNWKW-1,2017,0.0
BNWKW-1,2018,0.0
BNWKW-1,2019,56589.406
BNWKW-1,2020,50401.056
BOWLW-1,2016,274316.864
BOWLW-1,2017,296954.754
BOWLW-1,2018,274151.773
BOWLW-1,2019,283391.211
BOWLW-1,2020,251538.814
BRBEO-1,2016,0.0
BRBEO-1,2017,814929.73
BRBEO-1,2018,838348.968
BRBEO-1,2019,943604.377
BRBEO-1,2020,1004895.072
BRDUW-1,2016,162199.387
BRDUW-1,2017,165864.05
BRDUW-1,2018,164407.52
BRDUW-1,2019,164655.522
BRDUW-1,2020,165165.606
BRGG-1,2016,20917.358
BRGG-1,2017,20066.48
BRGG-1,2018,9773.992
BRGG-1,2019,6727.073
BRGG-1,2020,3109.117
BRYBW-1,2016,148360.826
BRYBW-1,2017,169572.197
BRYBW-1,2018,179010.708
BRYBW-1,2019,165254.955
BRYBW-1,2020,155574.109
BRYP-1,2016,2508.512
BRYP-1,2017,7577.535
BRYP-1,2018,2454.029
BRYP-1,2019,228.595
BRYP-1,2020,0.0
BTUIW-2,2016,0.0
BTUIW-2,2017,0.0
BTUIW-2,2018,0.0
BTUIW-2,2019,89325.197
BTUIW-2,2020,90378.809
BURBW-1,2016,253554.176
BURBW-1,2017,214791.999
BURBW-1,2018,258506.206
BURBW-1,2019,244645.979
BURBW-1,2020,296631.668
CAIRW-2,2016,105684.959
CAIRW-2,2017,132020.287
CAIRW-2,2018,100806.041
CAIRW-2,2019,114959.534
CAIRW-2,2020,114549.942
CARR-1,2016,1324700.5
CARR-1,2017,2336355.9
CARR-1,2018,2324901.6
CARR-1,2019,1939525.0
CARR-1,2020,1292381.8
CARR-2,2016,1371785.0
CARR-2,2017,2336500.7
CARR-2,2018,2199250.5
CARR-2,2019,2135729.8
CARR-2,2020,1079629.4
CAS-BEU01,2016,0.0
CAS-BEU01,2017,0.0
CAS-BEU01,2018,0.0
CAS-BEU01,2019,232060.147
CAS-BEU01,2020,336557.076
CAS-CLU01,2016,0.0
CAS-CLU01,2017,0.0
CAS-CLU01,2018,0.0
CAS-CLU01,2019,234777.468
CAS-CLU01,2020,305671.353
CAS-CON01,2016,0.0
CAS-CON01,2017,0.0
CAS-CON01,2018,0.0
CAS-CON01,2019,361446.538
CAS-CON01,2020,436169.664
CAS-GAR01,2016,0.0
CAS-GAR01,2017,0.0
CAS-GAR01,2018,0.0
CAS-GAR01,2019,167494.349
CAS-GAR01,2020,205679.295
CAS-KIL01,2016,0.0
CAS-KIL01,2017,0.0
CAS-KIL01,2018,0.0
CAS-KIL01,2019,172136.767
CAS-KIL01,2020,251700.793
CAS-MOR01,2016,0.0
CAS-MOR01,2017,0.0
CAS-MOR01,2018,0.0
CAS-MOR01,2019,243416.744
CAS-MOR01,2020,337803.558
CDCL-1,2016,2038860.99
CDCL-1,2017,1859874.21
CDCL-1,2018,2835308.25
CDCL-1,2019,2451134.16
CDCL-1,2020,1924425.9
CGTHW-1,2016,0.0
CGTHW-1,2017,0.0
CGTHW-1,2018,0.0
CGTHW-1,2019,145640.676
CGTHW-1,2020,105369.014
CLAC-1,2016,79622.438
CLAC-1,2017,97494.231
CLAC-1,2018,90160.558
CLAC-1,2019,81532.394
CLAC-1,2020,107761.548
CLDCW-1,2016,258211.701
CLDCW-1,2017,387415.417
CLDCW-1,2018,490353.658
CLDCW-1,2019,494431.85
CLDCW-1,2020,503833.892
CLDNW-1,2016,300339.193
CLDNW-1,2017,481927.833
CLDNW-1,2018,541773.107
CLDNW-1,2019,533649.561
CLDNW-1,2020,526718.246
CLDRW-1,2016,0.0
CLDRW-1,2017,0.0
CLDRW-1,2018,0.0
CLDRW-1,2019,92026.69
CLDRW-1,2020,91015.206
CLDSW-1,2016,278852.638
CLDSW-1,2017,320280.215
CLDSW-1,2018,320944.803
CLDSW-1,2019,242403.488
CLDSW-1,2020,296734.868
CLFLW-1,2016,0.0
CLFLW-1,2017,0.0
CLFLW-1,2018,0.0
