dictionary_id,year,carbon_intensity_gco2_per_kwh
10002,2016,856.56
10002,2017,849.48
10002,2018,933.70
10002,2019,918.49
10003,2016,954.14
10003,2017,915.47
10003,2018,1027.72
10003,2019,789.05
10004,2016,309.56
10004,2017,306.05
10004,2018,226.27
10004,2019,50.05
10004,2020,94.60
10005,2016,935.91
10005,2017,985.36
10005,2018,1002.05
10006,2016,928.98
10007,2016,1064.55
10007,2017,1024.84
10007,2018,1147.43
10007,2019,1032.95
10007,2020,1097.37
10009,2016,928.27
10010,2018,34.54
10010,2019,5.53
10010,2020,3.97
10011,2016,966.55
10011,2017,954.81
10011,2018,935.79
10011,2019,979.10
10011,2020,956.80
10012,2016,923.33
10013,2016,1136.13
10013,2017,1188.64
10014,2016,481.56
10014,2017,508.10
10014,2018,505.77
10014,2019,450.74
10014,2020,480.17
10021,2016,381.21
10021,2017,382.64
10021,2018,381.15
10021,2019,379.86
10021,2020,405.07
10024,2016,988.63
10024,2017,933.29
10026,2016,679.82
10026,2017,717.96
10027,2016,370.67
10027,2017,365.22
10027,2018,382.47
10027,2019,365.37
10027,2020,370.95
10029,2016,416.96
10029,2017,413.54
10029,2018,422.68
10029,2019,401.57
10029,2020,426.87
10030,2016,647.23
10030,2017,499.44
10030,2018,570.20
10030,2019,503.02
10030,2020,591.06
10031,2016,394.18
10031,2017,399.55
10031,2018,423.02
10031,2019,394.42
10031,2020,396.23
10032,2016,371.78
10032,2017,374.00
10032,2018,374.46
10032,2019,368.74
10032,2020,380.75
10033,2016,388.46
10033,2017,397.98
10033,2018,405.65
10033,2019,395.57
10033,2020,399.28
10034,2016,414.25
10034,2017,415.06
10034,2018,411.92
10036,2016,385.19
10036,2017,390.23
10036,2018,410.86
10036,2019,392.48
10036,2020,386.36
10038,2016,369.55
10038,2017,373.26
10038,2018,370.35
10038,2019,361.48
10038,2020,365.44
10039,2016,394.46
10039,2017,395.28
10039,2018,404.99
10039,2019,395.17
10039,2020,402.44
10040,2016,648.89
10040,2017,683.60
10040,2018,666.99
10040,2019,661.44
10040,2020,649.03
10042,2019,438.11
10042,2020,379.35
10043,2016,378.59
10043,2017,372.40
10043,2018,400.68
10043,2019,384.34
10043,2020,385.66
10044,2016,375.09
10044,2017,376.96
10044,2018,394.17
10044,2019,389.58
10044,2020,386.13
10045,2016,350.92
10045,2017,351.31
10045,2018,368.59
10045,2019,351.64
10045,2020,355.47
10046,2016,387.64
10046,2017,399.59
10046,2018,424.99
10046,2019,400.76
10046,2020,404.43
10047,2016,348.02
10047,2017,349.24
10047,2018,365.46
10047,2019,353.25
10047,2020,349.56
10048,2016,658.41
10048,2017,657.98
10049,2016,381.70
10049,2017,387.90
10049,2018,395.36
10049,2019,397.48
10049,2020,400.88
10051,2016,447.06
10051,2017,578.44
10051,2018,453.71
10051,2019,449.39
10051,2020,431.71
10052,2016,400.31
10052,2017,399.56
10052,2018,415.23
10052,2019,393.10
10052,2020,394.48
10053,2016,366.48
10053,2017,364.76
10053,2018,402.83
10053,2019,374.39
10053,2020,378.37
10054,2016,371.32
10054,2017,369.79
10054,2018,398.05
10054,2019,387.43
10054,2020,381.30
10055,2016,383.94
10055,2017,381.40
10055,2018,376.72
10055,2019,369.73
10055,2020,389.74
10056,2016,386.81
10056,2017,386.86
10056,2018,402.85
10056,2019,384.24
10056,2020,384.48
10057,2016,384.78
10057,2017,389.26
10057,2018,413.03
10057,2019,381.94
10057,2020,387.43
10058,2016,362.45
10058,2017,365.53
10058,2018,379.95
10058,2019,365.24
10058,2020,364.24
10059,2016,380.55
10059,2017,376.33
10059,2018,411.24
10059,2019,392.11
10059,2020,393.17
10067,2016,359.38
10067,2017,361.40
10067,2018,371.70
10067,2019,367.41
10067,2020,365.99
10068,2016,665.54
10068,2017,773.06
10068,2018,681.28
10068,2019,660.08
10068,2020,620.07
10070,2016,444.89
10070,2017,460.11
10070,2018,462.59
10070,2019,440.76
10070,2020,447.24
10091,2016,1119.93
10091,2017,1114.36
10091,2018,1109.18
10091,2019,1110.08
10097,2016,1065.20
10097,2017,1017.57
10097,2018,1057.14
10097,2019,1014.66
10101,2016,403.65
10101,2017,384.99
10101,2018,398.65
10101,2019,375.20
10101,2020,376.36
10104,2016,1104.23
10104,2017,1110.86
10104,2018,1103.12
10104,2019,1125.50
10104,2020,1070.01
