ngc_bmu_id,fuel_type,comments
ABRBO-1,WIND,
ABRTW-1,WIND,
ACHLW-1,WIND,
ACHRW-1,WIND,
ACHYW-1,WIND,
AFTOW-1,WIND,
AIRSW-1,WIND,
AKGLW-1,WIND,
AKGLW-2,WIND,
AKGLW-3,WIND,
ANSUW-1,WIND,
ARCHW-1,WIND,
ASHWW-1,WIND,
ASLVW-1,WIND,
BABAW-1,WIND,
BAGE-1,CCGT,
BAGE-2,CCGT,
BDCHW-1,WIND,
BEATO-1,WIND,
BEATO-2,WIND,
BEATO-3,WIND,
BEATO-4,WIND,
BEINW-1,WIND,
BETHW-1,WIND,
BGLAW-1,WIND,
BHLAW-1,WIND,
BLKWW-1,WIND,
BLLA-1,WIND,
BLLA-2,WIND,
BNAKW-1,WIND,
BNWKW-1,WIND,
BOULW-1,WIND,
BOWLW-1,WIND,
BOYNW-1,WIND,
BRBEO-1,WIND,
BRDUW-1,WIND,
BRGG-1,CCGT,
BRYBW-1,WIND,
BTUIW-1,WIND,
BTUIW-2,WIND,
BTUIW-3,WIND,
BURBW-1,WIND,
CAIRW-1,WIND,
CAIRW-2,WIND,
CARR-1,CCGT,
CARR-2,CCGT,
CAS-BEU01,NPSHYD,
CAS-CLU01,NPSHYD,
CAS-CON01,NPSHYD,
CAS-GAR01,NPSHYD,
CAS-KIL01,NPSHYD,
CAS-MOR01,NPSHYD,
CAUSW-1,WIND,
CDCL-1,CCGT,
CDWTW-1,WIND,
CGTHW-1,WIND,
CLAC-1,NPSHYD,
CLDCW-1,WIND,
CLDNW-1,WIND,
CLDRW-1,WIND,
CLDSW-1,WIND,
CLFLW-1,WIND,
CMSTW-1,WIND,
CNCLW-1,WIND,
CNQPS-1,CCGT,
CNQPS-2,CCGT,
CNQPS-3,CCGT,
CNQPS-4,CCGT,
CORB-1,CCGT,
COSO-1,CCGT,
COUWW-1,WIND,
COWE1,OCGT,
COWE2,OCGT,
CRDEW-1,WIND,
CRDEW-2,WIND,
CRGHW-1,WIND,
CRMHW-1,WIND,
CRMLW-1,WIND,
CRMNW-1,WIND,
CRUA-1,PS,
CRUA-2,PS,
CRUA-3,PS,
CRUA-4,PS,
CRYRW-1,WIND,
CRYRW-2,WIND,
CRYRW-3,WIND,
DALSW-1,WIND,
DAMC-1,CCGT,
DDGNO-1,WIND,
DDGNO-2,WIND,
DDGNO-3,WIND,
DDGNO-4,WIND,
DEEP-1,CCGT,
DEUCW-1,WIND,
DIDC01G,OCGT,
DIDC02G,OCGT,
DIDC03G,OCGT,
DIDC04G,OCGT,
DIDCB5,CCGT,
DIDCB6,CCGT,
DINO-1,PS,
DINO-2,PS,
DINO-3,PS,
DINO-4,PS,
DINO-5,PS,
DINO-6,PS,
DNBAR-1,BIOMASS,
DNGB21,NUCLEAR,
DNGB22,NUCLEAR,
DNLWW-1,WIND,
DOREW-1,WIND,
DOREW-2,WIND,
DRAXX-1,BIOMASS,
DRAXX-10G,OCGT,
DRAXX-12G,OCGT,
DRAXX-2,BIOMASS,
DRAXX-3,BIOMASS,
DRAXX-4,BIOMASS,
DRAXX-5,COAL,
DRAXX-6,COAL,
DRAXX-9G,OCGT,
DRDGW-1,WIND,
DRSLW-1,WIND,
DUMMW-1,WIND,
DUNGW-1,WIND,
EAAO-1,WIND,
EAAO-2,WIND,
EARBW-1,WIND,
EDINW-1,WIND,
EDTRW-1,WIND,
EECL-1,CCGT,
ERRO-1,NPSHYD,
ERRO-2,NPSHYD,
ERRO-3,NPSHYD,
EWHLW-1,WIND,
FAARW-1,WIND,
FAARW-2,WIND,
FALGW-1,WIND,
FASN-1,NPSHYD,
FASN-4,NPSHYD,
FASN2,NPSHYD,
FASN3,NPSHYD,
FAWN-1,CCGT,
FELL-1,CCGT,
FFES-1,PS,
FFES-2,PS,
FFES-3,PS,
FFES-4,PS,
FINL-1,NPSHYD,
FOYE-1,PS,
FOYE-2,PS,
FRBRW-1,WIND,
FSDLW-1,WIND,
GAOFO-1,WIND,
GAOFO-2,WIND,
GAOFO-3,WIND,
GAOFO-4,WIND,
GDSTW-1,WIND,
GLCHW-1,WIND,
GLNDO-1,NPSHYD,
GLOFW-1,WIND,
GLWSW-1,WIND,
GNAPW-1,WIND,
GNFSW-1,WIND,
GNFSW-2,WIND,
GORDW-1,WIND,
GORDW-2,WIND,
GRAI-6,CCGT,
GRAI-7,CCGT,
GRAI-8,CCGT,
GRAI1G,OCGT,
GRAI4G,OCGT,
GRGBW-1,WIND,
GRGBW-2,WIND,
GRGBW-3,WIND,
GRIFW-1,WIND,
GRIFW-2,WIND,
GRMO-1,CCGT,
GRUB-1,NPSHYD,
GRUB-2,NPSHYD,
GYAR-1,CCGT,
GYMRO-15,WIND,
GYMRO-17,WIND,
GYMRO-26,WIND,
GYMRO-28,WIND,
HADHW-1,WIND,
HALSW-1,WIND,
HAWFW-1,WIND,
HBHDW-1,WIND,
HEYM11,NUCLEAR,
HEYM12,NUCLEAR,
HEYM27,NUCLEAR,
HEYM28,NUCLEAR,
HINB-7,NUCLEAR,
HINB-8,NUCLEAR,
HLGLW-1,WIND,
HLTWW-1,WIND,
HMGTO-1,WIND,
HMGTO-2,WIND,
HOWAO-1,WIND,
HOWAO-2,WIND,
HOWAO-3,WIND,
HRHLW-1,WIND,
HRSTW-1,WIND,
HRTL-1,NUCLEAR,
HRTL-2,NUCLEAR,
HUMR-1,CCGT,
HUNB-7,NUCLEAR,
HUNB-8,NUCLEAR,
HYWDW-1,WIND,
INAW-1,NPSHYD,
INDQ-1,OCGT,
JGPR-1,BIOMASS,
KEAD-1,CCGT,
KEAD-2,CCGT,
KEADGT-3,OCGT,
KILBW-1,WIND,
KILLPG-1,CCGT,
KILLPG-2,CCGT,
KILNS-1,CCGT,
KINCW-1,WIND,
KLDMW-1,WIND,
KLGLW-1,WIND,
KLYN-A-1,CCGT,
KPMRW-1,WIND,
KTHLW-1,WIND,
LAGA-1,CCGT,
LARYO-1,WIND,
LARYO-2,WIND,
LARYO-3,WIND,
LARYO-4,WIND,
LBAR-1,CCGT,
LBAR-1G,OCGT,
LCLTW-1,Wind,
LCSMH-1,NPSHYD,
LGPKW-1,WIND,
LNCSO-1,WIND,
LNCSO-2,WIND,
LNMTH-1,BIOMASS,
LNMTH-2,BIOMASS,
LNMTH-3,BIOMASS,
MDHLW-1,WIND,
MEDP-1,CCGT,
MIDMW-1,WIND,
MILWW-1,WIND,
MINSW-1,WIND,
MKHLW-1,WIND,
MOWEO-1,WIND,
MOWEO-2,WIND,
MOWEO-3,WIND,
MOYEW-1,WIND,
MRWD-1,CCGT,
MYGPW-1,WIND,
NANT-1,NPSHYD,
NOVAW-1,WIND,
NOVAW-2,WIND,
NSQYT-1,TIDAL,
OMNDO-1,WIND,
PAUHW-1,WIND,
PEHE-1,CCGT,
PEMB-11,CCGT,
PEMB-21,CCGT,
PEMB-31,CCGT,
PEMB-41,CCGT,
PEMB-51,CCGT,
PETEM1,CCGT,
PGBIW-1,WIND,
PNYCW-1,WIND,
PTLDW-1,WIND,
RANN-1,NPSHYD,
RANN-2,NPSHYD,
RANN-3,NPSHYD,
RATS-1,COAL,
RATS-2,COAL,
RATS-3,COAL,
RATS-4,COAL,
RATSGT-2,OCGT,
RATSGT-4,OCGT,
RCBKO-1,WIND,
RCBKO-2,WIND,
REDGT-1,OCGT,
RMPNO-1,WIND,
RMPNO-2,WIND,
ROCK-1,CCGT,
RREW-1,WIND,
RRWW-1,WIND,
RSHLW-1,WIND,
RYHPS-1,CCGT,
SANQW-1,WIND,
SCCL-1,CCGT,
SCCL-2,CCGT,
SCCL-3,CCGT,
SEAB-1,CCGT,
SEAB-2,CCGT,
SEEL-1,OCGT,
SFIL-1,NPSHYD,
SHBA-1,CCGT,
SHBA-2,CCGT,
SHIN-1,NPSHYD,
SHIN-2,NPSHYD,
SHOS-1,CCGT,
SHRSO-1,WIND,
SHRSO-2,WIND,
SIMEC-1,BIOMASS,
SIZB-1,NUCLEAR,
SIZB-2,NUCLEAR,
SLOY-1,NPSHYD,
SLOY-2,NPSHYD,
SLOY-3,NPSHYD,
SLOY-4,NPSHYD,
SPEY-1,BIOMASS,
SPLN-1,CCGT,
STAY-1,CCGT,
STAY-2,CCGT,
STAY-3,CCGT,
STAY-4,CCGT,
STCR-1,BIOMASS,
STLGW-1,WIND,
STLGW-2,WIND,
STLGW-3,WIND,
STPSW-1,WIND,
STRNW-1,WIND,
SUTB-1,CCGT,
SVRP-10,CCGT,
SVRP-20,CCGT,
TANGW-1,WIND,
TAYL2G,OCGT,
TAYL3G,OCGT,
TDBNW-1,WIND,
THNTO-1,WIND,
THNTO-2,WIND,
TKNEW-1,WIND,
TKNWW-1,WIND,
TLYMW-1,WIND,
TMNCW-1,WIND,
TMWLW-1,WIND,
TONG-1,NPSHYD,
TONG-2,NPSHYD,
TONG-3,NPSHYD,
TORN-1,NUCLEAR,
TORN-2,NUCLEAR,
TRLGW-1,WIND,
TSREP-1,BIOMASS,
TULWW-1,WIND,
TULWW-2,WIND,
TUMB-1,NPSHYD,
TUMB-2,NPSHYD,
TWSHW-1,WIND,
USKM-13,BIOMASS,
USKM-14,BIOMASS,
USKM-15,BIOMASS,
WBUGT-1,OCGT,
WBUGT-4,OCGT,
WBUPS-1,COAL,
WBUPS-2,COAL,
WBUPS-3,COAL,
WBUPS-4,COAL,
WBURB-1,CCGT,
WBURB-2,CCGT,
WBURB-3,CCGT,
WBURB-41,BATTERY,
WBURB-43,BATTERY,
WDNSO-1,WIND,
WDNSO-2,WIND,
WDRGW-1,WIND,
WHIHW-1,WIND,
WHILW-1,WIND,
WHILW-2,WIND,
WILCT-1,BIOMASS,
WINN-1,CHP,
WISTW-2,WIND,
WLNYO-2,WIND,
WLNYO-3,WIND,
WLNYO-4,WIND,
WLNYW-1,WIND,
WTGRW-1,WIND,
WTMSO-1,WIND,
MARK-1,BIOMASS,
MARK-2,BIOMASS,
ABTH7,COAL,
ABTH8,COAL,
ABTH9,COAL,
ABTH7G,OCGT,
ABTH8G,OCGT,
ABTH9G,OCGT,
COTPS-1,COAL,
COTPS-2,COAL,
COTPS-3,COAL,
COTPS-4,COAL,
EGGPS-1,COAL,
EGGPS-2,COAL,
EGGPS-3,COAL,
EGGPS-4,COAL,
FERR-1,COAL,
FERR-2,COAL,
FERR-3,COAL,
FERR-4,COAL,
FERR-5G,OCGT,
FERR-8G,OCGT,
FIDL-1,COAL,
FIDL-2,COAL,
FIDL-3,COAL,
FIDL-4,COAL,
FIDL-2G,OCGT,
FIDL-3G,OCGT,
LOAN-1,COAL,
LOAN-2,COAL,
LOAN-3,COAL,
LOAN-4,COAL,
RUGPS-6,COAL,
RUGPS-7,COAL,
RUGGT-6,OCGT,
RUGGT-7,OCGT,
COCK-1,COAL,
COCK-2,COAL,
COCK-3,COAL,
COCK-4,COAL,
IRNPS-1,COAL,
IRNPS-2,COAL,
KINO-1,COAL,
KINO-2,COAL,
KINO-3,COAL,
KINO-4,COAL,
TILB-7,COAL,
TILB-8,COAL,
TILB-9,COAL,
TILB-10,COAL,
TILB0G,OCGT,
TILB7G,OCGT,
TILB8G,OCGT,
TILB9G,OCGT,
ROOS-1,COAL,
FAWL1,COAL,
FAWL3,COAL,
FAWL1G,OCGT,
FAWL2G,OCGT,
FAWL3G,OCGT,
FAWL4G,OCGT,
BRYP-1,OCGT,could be switched to combined cycle operation after an hour
BARK-1,CCGT,
BARKB2,CCGT,
SEVIU-1,RECIPROCATING,
SOLUU-1,RECIPROCATING,
YEP-PGU02,CCGT,
TESI-1,OCGT,ccgts were shut down in 2011 (ocgts were too in 2015)
TESI-2,OCGT,ccgts were shut down in 2011 (ocgts were too in 2015)
YEP-PGU03,CCGT,
DERW-1,CCGT,
FIFE-1,CCGT,
WYLF-1,NUCLEAR,
WYLF-2,NUCLEAR,
WYLF-3,NUCLEAR,
WYLF-4,NUCLEAR,
MNW-PGU02,CCGT,
LITTD1,COAL,
LITTD2,COAL,
LITTD3,COAL,
LITT2G,OCGT,
LITT3G,OCGT,
FDUNT-1,OCGT,
ABERU-1,RECIPROCATING,
GFLDW-1,WIND,
SGRWO-6,WIND,
SGRWO-5,WIND,
SGRWO-3,WIND,
SGRWO-4,WIND,
TGP1,BIOMASS,
LCSMH-1,TIDAL,
SAKNW-1,WIND,
CREAW-1,WIND,
