account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
100000,87923,106745,117404,126296,105795,105034,101784,21384,5671,0,0,0,,,,,
100001,134139,138143,170415,143182,149405,142121,119263,102751,101881,99012,86687,91519,94729,60363,47925,24983,
100002,0,,,,Not Reported,Not Reported,,,,,,,,,,,
100003,0,,,,Not Reported,Not Reported,,,,,,,,,,,
100004,0,,,,Not Reported,Not Reported,,,,,,,,,,,
100005,229,561,497,407,253,732,1142,1518,57,0,642,944,676,1120,178,322,
100006,0,57,21,0,0,85,39,142,42,4,541,211,429,247,293,67,
100007,0,0,0,0,3,5,5,0,0,3,0,16,3,,,,
100008,0,0,0,0,0,0,0,2,0,0,0,0,,,,,
100009,0,0,3,126,1171,2631,1861,977,142,236,21,453,214,67,76,65,
100010,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,
100011,0,0,0,0,0,0,,,,,,,,,,,
100012,0,0,0,0,0,0,0,0,,,,,,,,,
100013,6,9,23,10,6,16,3,9,0,1,0,0,26,4,0,0,
100014,9366,12136,16095,9104,13468,14038,13545,14964,8317,7980,9938,8875,7498,5222,5751,5169,
100015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
100016,1542,198899,2701,2650,2408,3114,1388,291,148,,,,,,,,
100017,187311,218589,157444,184553,87299,126612,118884,94436,83196,73992,59928,56781,41667,42138,31400,29280,
100018,92071,91749,90026,89097,52690,81949,83803,73108,80979,19154,,,,,,,
100019,65516,65095,62908,55968,17663,223,0,10811,17962,59000,52773,65253,72485,59986,26032,0,
100020,90436,95722,96561,95111,61699,94981,95925,59286,70211,91146,84356,85008,79115,52850,50420,61403,
100021,181274,194096,191995,161231,146532,153802,168247,160229,173649,178968,155485,158190,161057,159186,119677,134230,
100022,175325,191910,189010,162942,153563,121704,150068,117894,109065,84005,79466,82862,91378,86584,69670,74923,
100023,3965,4019,5805,5151,3362,3247,1813,2589,2110,3050,2517,2435,1183,498,1510,94,
100024,98,425,773,318,100,544,224,294,60,127,75,389,78,53,10,7,
100025,1152,1081,466,337,681,961,790,1071,610,677,732,1221,545,976,400,314,
100026,0,4,13,4,0,3,7,2,6,5,0,11,0,10,4,4,
100027,30926,33968,38411,39701,25915,34948,37475,36847,30782,25817,25153,31275,34602,33197,36067,37893,
100028,1869,3439,3118,2377,1293,3627,1218,2493,383,975,2383,1264,492,1326,579,78,
100029,0,0,0,0,0,,,,,,,,,,,,
100030,1851,2603,3236,0,Not Reported,Not Reported,,,,,,,,,,,
100031,929868,1262302,1139228,840554,626050,861187,796953,667604,609910,519453,518232,523147,531894,483023,480720,348244,
100032,0,18,164,1,0,133,4,0,0,0,0,3,0,0,13,0,
100033,0,21,151,3,0,36,0,0,0,0,0,0,0,0,1,12,
100034,0,0,0,,Not Reported,Not Reported,,,,,,,,,,,
100035,0,0,43,0,0,0,14,0,,,,,,,,,
