osuked_id,esail_id,gppd_idnr,name,sett_bmu_id,longitude,latitude,fuel_type,capacity_mw,plant_type,4c_offshore_id,windpowernet_id,wikidata_id,wikipedia_id,power_technology_id,hub_height
10147,ACHRW,GBR0004331,AChruach Wind Farm,T_ACHRW-1,-5.393722,56.34286,wind,42.6,onshore,,,,,,
10148,AKGLW,GBR0004332,Aikengall 2 Wind Farm Generation,"T_AKGLW-2, T_AKGLW-3",-2.492993,55.923317,wind,60.8,onshore,,,,,,
10149,AIRSW,,Airies Windfarm,E_AIRSW-1,-4.713441,54.970896,wind,,onshore,,,,,,
10150,ASHWW,,Andershaw Wind Farm,E_ASHWW-1,-3.814161,55.51487,wind,,onshore,,,,,,
10151,ANSUW,,An Suidhe Windfarm,T_ANSUW-1,-5.449219,56.065903000000006,wind,,onshore,,,,,,
10152,ARCHW,GBR0003258,Arecleoch Windfarm,T_ARCHW-1,-4.63623,55.14121,wind,120.0,onshore,,,,,,
10153,ASLVW,,Assel Valley Wind Farm,E_ASLVW-1,-4.825652,55.222814,wind,,onshore,,,,,,
10154,ABRTW,,Auchrobert Wind Farm,E_ABRTW-1,-3.988675,55.621764,wind,,onshore,,,,,,
10155,BABAW,GBR0004021,Baillie Wind Farm,E_BABAW-1,-4.372559,58.430482,wind,52.5,onshore,,,,,,
10156,BOWLW,GBR0002546,Barrow Offshore Windfarm,T_BOWLW-1,-3.2833330000000003,53.983333,wind,90.0,offshore,barrow-united-kingdom-uk01,windfarm_en_1503_barrow,Q2016017,Barrow_Offshore_Wind_Farm,,75
10157,BTUIW,GBR0004525,Beinn An Tuirc 2 Windfarm,"E_BTUIW-2, E_BTUIW-3",-5.537109,55.683779,wind,43.7,onshore,,,,,,
10158,BEINW,GBR0003787,Beinneun Wind Farm,T_BEINW-1,-4.789059,57.17555556,wind,85.0,onshore,,,,,,
10159,BETHW,,Beinn Tharsuinn,E_BETHW-1,-4.42749,58.077876,wind,,onshore,,,,,,
10160,BRYBW,GBR0004261,Berry Burn Windfarm,E_BRYBW-1,-3.966064,57.36209,wind,66.7,onshore,,,,,,
