osuked_id,bmu_root,fuel_type,sett_bmu_id,longitude,latitude
10000,MARK,biomass,"E_MARK-1, E_MARK-2",-3.6035160000000004,57.480403
10001,DIDC,coal,"T_DIDC1, T_DIDC2, T_DIDC4, T_DIDC3",-1.26757,51.62363
10002,ABTH,coal,"T_ABTH7, T_ABTH8, T_ABTH9",-3.404866,51.387312
10003,COTPS,coal,"T_COTPS-1, T_COTPS-2, T_COTPS-3, T_COTPS-4",-0.648193,53.245495
10004,DRAXX,coal,"T_DRAXX-1, T_DRAXX-2, T_DRAXX-3, T_DRAXX-4, T_DRAXX-5, T_DRAXX-6",-0.626221,53.748711
10005,EGGPS,coal,"T_EGGPS-1, T_EGGPS-2, T_EGGPS-3, T_EGGPS-4",-0.8349610000000001,53.709714
10006,FERR,coal,"T_FERR-3, T_FERR-4, T_FERR-1, T_FERR-2",-1.032715,53.735716000000004
10007,FIDL,coal,"T_FIDL-1, T_FIDL-2, T_FIDL-3, T_FIDL-4",-2.823486,53.350551
10008,FIFO,coal,"T_FIFO-13, T_FIFO-14, T_FIFO-15",-2.970539,51.549071000000005
10009,LOAN,coal,"T_LOAN-1, T_LOAN-2, T_LOAN-3, T_LOAN-4",-3.4387209999999997,56.0475
10010,LYNE,coal,"E_LYNE1, E_LYNE2, E_LYNE3",-1.52083,55.20417
10011,RATS,coal,"T_RATS-1, T_RATS-2, T_RATS-3, T_RATS-4",-1.219482,52.855864000000004
10012,RUGPS,coal,"T_RUGPS-6, T_RUGPS-7",-1.94458,52.729639
10013,USKM,coal,"T_USKM-13, T_USKM-14, T_USKM-15",-3.043213,51.611195
10014,WBUPS,coal,"T_WBUPS-1, T_WBUPS-2, T_WBUPS-3, T_WBUPS-4",-0.53833,53.363665000000005
10015,COCK,coal,"T_COCK-1, T_COCK-2, T_COCK-3, T_COCK-4",-2.968404,55.968502
10016,DRKPS,coal,"T_DRKPS-9, T_DRKPS-10, T_DRKPS-12",-1.6568049999999999,52.773607999999996
10017,HMRPS,coal,"T_HMRPS-1, T_HMRPS-2, T_HMRPS-3, T_HMRPS-4, T_HMRPS-5",-0.792565,53.22902
10018,IRNPS,coal,"T_IRNPS-1, T_IRNPS-2",-2.504883,52.603048
10019,KINO,coal,"T_KINO-1, T_KINO-2, T_KINO-3, T_KINO-4",0.6027020000000001,51.418946999999996
10020,TILB,coal,"T_TILB10, T_TILB-7, T_TILB-8, T_TILB-9",0.391677,51.454926
10021,BAGE,gas,"T_BAGE-1, T_BAGE-2",-5.031738,51.720223
10022,BARK,gas,T_BARK-1,0.153809,51.556582
10023,BARKB,gas,T_BARKB2,0.147,51.521
10024,BRYP,gas,E_BRYP-1,-3.3398440000000003,51.37178
10025,AESB,gas,E_AESB-1,-3.228712,51.408134000000004
10026,BRGG,gas,E_BRGG-1,-0.32959,53.442264
10027,CARR,gas,"T_CARR-1, T_CARR-2",-2.504883,53.455349
10028,MPGEN,gas,"2__MPGEN002, 2__MPGEN001","-1.3430389999999999, -1.655244","53.73191, 53.677085999999996"
10029,CNQPS,gas,"T_CNQPS-1, T_CNQPS-2, T_CNQPS-3, T_CNQPS-4",-3.080651,53.231871
10030,CORB,gas,E_CORB-1,-0.86792,52.247983000000005
10031,COSO,gas,T_COSO-1,0.8349610000000001,51.542919
10032,CDCL,gas,T_CDCL-1,-0.86792,53.219191
10033,DAMC,gas,T_DAMC-1,0.549316,51.460852
10034,DEEP,gas,T_DEEP-1,-3.208008,53.140181000000005
10035,DIDCB,gas,"T_DIDCB5, T_DIDCB6",-1.26757,51.62363
10036,EECL,gas,T_EECL-1,-0.022763,51.662337
10037,FIFE,gas,T_FIFE-1,-3.3061,56.1689
10038,GYAR,gas,E_GYAR-1,1.625977,52.596375
