Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
1,Ågesta,59.206,18.0829,Sweden,SE,Shutdown,PHWR,,1957-12-01,1964-05-01,1974-06-02,9.0,2015-05-24,WNA/IAEA,528.0
2,Akademik Lomonosov-1,69.709579,170.30625,Russia,RU,Operational,PWR,KLT-40S 'Floating',2007-04-15,2020-05-22,,30.0,2021-05-31,WNA/IAEA/Google Maps,895.0
3,Akademik Lomonosov-2,69.709579,170.30625,Russia,RU,Operational,PWR,KLT-40S 'Floating',2007-04-15,2020-05-22,,30.0,2021-05-31,WNA/IAEA/Google Maps,896.0
4,Akhvaz-1,,,Iran,IR,Planned,,,,,,,,WNA,
5,Akhvaz-2,,,Iran,IR,Planned,,,,,,,,WNA,
6,Akkuyu-1,36.144444,33.541111,Turkey,TR,Under Construction,PWR,VVER V-509,2018-04-03,,,1114.0,2018-06-30,WNA/Wikipedia/IAEA,553.0
7,Akkuyu-2,36.144444,33.541111,Turkey,TR,Under Construction,PWR,VVER V-509,2020-04-08,,,1114.0,2020-08-30,Wikipedia/IAEA,1080.0
8,Akkuyu-3,36.144444,33.541111,Turkey,TR,Under Construction,PWR,VVER V-509,2021-03-10,,,1114.0,2021-04-19,Wikipedia/IAEA,1081.0
9,Akkuyu-4,36.144444,33.541111,Turkey,TR,Planned,PWR,,,,,,,Wikipedia,
10,Aktau (Shevchenko),43.607,51.283,Kazakhstan,KZ,Shutdown,FBR,BN-350,1964-10-01,1973-07-16,1999-04-22,52.0,2021-09-30,WNA/IAEA,414.0
11,Almaraz-1,39.807,-5.698,Spain,ES,Operational,PWR,WH 3LP,1973-07-03,1983-09-01,,900.0,2017-02-10,WNA/IAEA,153.0
12,Almaraz-2,39.807,-5.698,Spain,ES,Operational,PWR,WH 3LP,1973-07-03,1984-07-01,,900.0,2019-06-02,WNA/IAEA,154.0
13,Angra-1,-23.008,-44.457,Brazil,BR,Operational,PWR,WH 2LP,1971-05-01,1985-01-01,,609.0,2021-02-14,WNA/IAEA,24.0
14,Angra-2,-23.008,-44.457,Brazil,BR,Operational,PWR,PRE KONVOI,1976-01-01,2001-02-01,,1245.0,2015-05-24,WNA/IAEA,25.0
15,Angra-3,-23.01,-44.47,Brazil,BR,Under Construction,PWR,PRE KONVOI,2010-06-01,,,1340.0,2018-06-30,WNA/IAEA,26.0
16,APS-1 Obninsk,55.084,36.57,Russia,RU,Shutdown,LWGR,AM-1,1951-01-01,1954-12-01,2002-04-29,5.0,2015-05-24,WNA/IAEA,447.0
17,Arkansas Nuclear One-1 (ANO-1),35.31,-93.23,United States,US,Operational,PWR,B&W LLP (DRYAMB),1968-10-01,1974-12-19,,850.0,2017-02-10,WNA/IAEA,652.0
18,Arkansas Nuclear One-2 (ANO-2),35.31,-93.229,United States,US,Operational,PWR,CE 2LP (DRYAMB),1968-12-06,1980-03-26,,912.0,2017-02-10,WNA/IAEA,689.0
19,Armenian-1,40.182,44.147,Armenia,AM,Shutdown,PWR,VVER V-270,1969-07-01,1977-10-06,1989-02-25,376.0,2021-06-07,WNA/IAEA,1.0
20,Armenian-2,40.182,44.147,Armenia,AM,Operational,PWR,VVER V-270,1975-07-01,1980-05-03,,375.0,2021-06-28,WNA/IAEA,2.0
21,Armenian-3,40.1808,44.1472,Armenia,AM,Planned,PWR,,,,,,2021-06-07,WNA,
22,Asco-1,41.202,0.571,Spain,ES,Operational,PWR,WH 3LP,1974-05-16,1984-12-10,,995.0,2021-01-05,WNA/IAEA,155.0
23,Asco-2,41.202,0.571,Spain,ES,Operational,PWR,WH 3LP,1975-03-07,1986-03-31,,997.0,2021-04-19,WNA/IAEA,156.0
24,Atucha-1,-33.967,-59.209,Argentina,AR,Operational,PHWR,PHWR KWU,1968-06-01,1974-06-24,,340.0,2021-02-14,WNA/IAEA,3.0
25,Atucha-2,-33.967,-59.209,Argentina,AR,Operational,PHWR,PHWR KWU,1981-07-14,2016-05-26,,692.0,2017-09-25,WNA/IAEA,5.0
26,Balakovo-1,52.092,47.952,Russia,RU,Operational,PWR,VVER V-320,1980-12-01,1986-05-23,,950.0,2015-05-24,WNA/IAEA,524.0
27,Balakovo-2,52.092,47.952,Russia,RU,Operational,PWR,VVER V-320,1981-08-01,1988-01-18,,950.0,2015-05-24,WNA/IAEA,525.0
28,Balakovo-3,52.092,47.952,Russia,RU,Operational,PWR,VVER V-320,1982-11-01,1989-04-08,,950.0,2015-05-24,WNA/IAEA,526.0
