sett_bmu_id,ngc_bmu_id,bmu_root,name,primary_fuel_type,detailed_fuel_type,longitude,latitude
E_MARK-1,MARK-1,MARK,Rothes Bio-Plant CHP 1,biomass,bone,-3.603516,57.480403
E_MARK-2,MARK-2,MARK,Rothes Bio-Plant CHP 2,biomass,bone,-3.603516,57.480403
T_DIDC1,DIDC1,DIDC,Didcot A (G) 1,coal,coalgas_opt_out,-1.26757,51.62363
T_DIDC2,DIDC2,DIDC,Didcot A (G) 2,coal,coalgas_opt_out,-1.26757,51.62363
T_DIDC4,DIDC4,DIDC,Didcot A (G) 4,coal,coalgas_opt_out,-1.26757,51.62363
T_ABTH7,ABTH7,ABTH,Aberthaw B,coal,coal_opt_in,-3.404866,51.387312
T_ABTH8,ABTH8,ABTH,Aberthaw B,coal,coal_opt_in,-3.404866,51.387312
T_ABTH9,ABTH9,ABTH,Aberthaw B,coal,coal_opt_in,-3.404866,51.387312
T_COTPS-1,COTPS-1,COTPS,Cottam,coal,coal_opt_in,-0.648193,53.245495
T_COTPS-2,COTPS-2,COTPS,Cottam,coal,coal_opt_in,-0.648193,53.245495
T_COTPS-3,COTPS-3,COTPS,Cottam,coal,coal_opt_in,-0.648193,53.245495
T_COTPS-4,COTPS-4,COTPS,Cottam,coal,coal_opt_in,-0.648193,53.245495
T_DRAXX-1,DRAXX-1,DRAXX,Drax,coal,coal_opt_in,-0.626221,53.748711
T_DRAXX-2,DRAXX-2,DRAXX,Drax,coal,coal_opt_in,-0.626221,53.748711
T_DRAXX-3,DRAXX-3,DRAXX,Drax,coal,coal_opt_in,-0.626221,53.748711
T_DRAXX-4,DRAXX-4,DRAXX,Drax,coal,coal_opt_in,-0.626221,53.748711
T_DRAXX-5,DRAXX-5,DRAXX,Drax,coal,coal_opt_in,-0.626221,53.748711
T_DRAXX-6,DRAXX-6,DRAXX,Drax,coal,coal_opt_in,-0.626221,53.748711
T_EGGPS-1,EGGPS-1,EGGPS,Eggborough,coal,coal_opt_in,-0.8349610000000001,53.709714
T_EGGPS-2,EGGPS-2,EGGPS,Eggborough,coal,coal_opt_in,-0.8349610000000001,53.709714
T_EGGPS-3,EGGPS-3,EGGPS,Eggborough,coal,coal_opt_in,-0.8349610000000001,53.709714
T_EGGPS-4,EGGPS-4,EGGPS,Eggborough,coal,coal_opt_in,-0.8349610000000001,53.709714
T_FERR-3,FERR-3,FERR,Ferrybridge C,coal,coal_opt_in,-1.032715,53.735716
