ng_id,ggd_id,gnode_id,gnode_name,gnode_lat,gnode_lon,gsp_id,gsp_name,gsp_lat,gsp_lon,dc_id,dc_name,dc_lat,dc_lon,region_id,region_name,has_pv,pes_id,pes_name
1,1,1,COWL,51.71105,-1.18901,1,COWL_1,51.71105,-1.18901,,,,,1,Cowley,1,20,_H
2,2,2,ECLA,51.92579,-0.90565,2,ECLA_1,51.92579,-0.90565,,,,,19,East Claydon,1,11,_B
3,3,3,ENDEDW,52.59726,-1.21548,3,ENDE_1,52.59726,-1.21548,,,,,20,Enderby,1,11,_B
4,4,4,GRENDW,52.24269,-0.72736,4,GREN_1,52.24269,-0.72736,,,,,21,Grendon,1,11,_B
5,5,5,RATS,52.86342,-1.25444,5,RATS_1,52.86342,-1.25444,,,,,22,Ratcliffe,1,11,_B
6,6,6,STAYDW,53.07717,-0.86738,6,STAY_1,53.07717,-0.86738,,,,,23,Staythorpe,1,11,_B
7,7,7,STOB,52.95976,-1.05062,7,SBAR,52.95976,-1.05062,,,,,24,Stoke Bardolph,1,11,_B
8,8,8,WBUR,53.35891,-0.80781,8,WBUR_1,53.35891,-0.80781,,,,,25,West Burton,1,11,_B
9,9,9,BRWA,51.1168,-2.9677,9,BRWA1,51.1168,-2.9677,,,,,58,Bridgewater,1,22,_L
10,10,10,MITY,51.60728,-2.00116,10,MITY_1,51.60728,-2.00116,,,,,2,Minety,1,20,_H
11,11,11,TAUN,51.01643,-3.15387,11,TAUN1,51.01643,-3.15387,,,,,59,Taunton,1,22,_L
12,12,12,CAML,53.729427,-1.000941,12,CAMB_01,53.729427,-1.000941,,,,,161,Camblesforth,1,23,_M
13,13,13,DRAX,53.73598,-0.9908,13,DRAX_1,53.73598,-0.9908,,,,,162,Drax,1,23,_M
14,14,14,GRIW,53.56499,-0.15065,14,GRIW_1,53.56499,-0.15065,,,,,163,Grimsby West,1,23,_M
15,15,15,KEADDW,53.5978,-0.75457,15,KEAD_1,53.5978,-0.75457,,,,,164,Keadby,1,23,_M
16,16,16,OSBA,53.95657,-1.02091,16,OSBA_1,53.95657,-1.02091,,,,,115,Osbaldwick,1,15,_F
17,17,17,BRK1,51.52017,0.113296,17,BARKC1,51.52017,0.113296,,,,,88,Barking,1,12,_C
18,18,18,BRK3,51.52017,0.113296,18,BARKW3,51.52017,0.113296,,,,,88,Barking,1,12,_C
19,19,19,SYD1,51.433113,-0.053455,19,BEDDT1,51.433113,-0.053455,,,,,89,Beddington (_C),1,12,_C
20,20,20,BED1,51.37408,-0.12618,20,BEDD_1,51.37408,-0.12618,,,,,149,Beddington (_J),1,19,_J
21,21,21,BRIMDM,51.66398,-0.0217,21,BRIM_1,51.66398,-0.0217,,,,,68,Brimsdown,1,10,_A
22,22,22,CITR,51.52967,-0.09412,22,CITR_1,51.52967,-0.09412,,,,,90,City Road,1,12,_C
23,23,23,EALI,51.50134,-0.29454,23,EALI_6,51.50134,-0.29454,,,,,3,Ealing,1,20,_H
24,24,24,HCK1,51.55898,-0.04172,24,HACK_1,51.55898,-0.04172,,,,,91,Hackney,1,12,_C
25,25,25,HACK,51.55898,-0.04172,25,HACK_6,51.55898,-0.04172,,,,,91,Hackney,1,12,_C
26,26,26,HURS,51.43215,0.15625,26,HURS_1,51.43215,0.15625,,,,,92,Hurst,1,12,_C
27,27,27,NFLE,51.427952,0.329733,27,NFLE,51.427952,0.329733,,,,,150,Northfleet East,1,19,_J
28,28,28,REBR,51.58803,0.04463,28,REBR_3,51.58803,0.04463,,,,,93,Redbridge,1,12,_C
29,29,29,SJOW,51.527,-0.16795,29,SJOW_1,51.527,-0.16795,,,,,94,St Johns Wood,1,12,_C
30,30,30,TOTT,51.60402,-0.04604,30,TOTT_1,51.60402,-0.04604,,,,,69,Tottenham,1,10,_A
31,31,31,WHAM,51.51908,0.00238,31,WHAM_1,51.51908,0.00238,,,,,95,West Ham,1,12,_C
32,32,32,WISDDM,51.53373,-0.25632,32,WISD_1,51.53373,-0.25632,,,,,96,Willesden 132kV,1,12,_C
33,33,33,WIM1,51.43048,-0.18643,33,WIMBS1,51.43048,-0.18643,,,,,97,Wimbledon,1,12,_C
34,34,34,WIM2,51.43048,-0.18643,34,WIMBN1,51.43048,-0.18643,,,,,97,Wimbledon,1,12,_C
35,35,35,BIRKDW,53.36549,-3.06139,35,BIRK_1,53.36549,-3.06139,,,,,102,Birkenhead,1,13,_D
36,36,36,FIDF,53.37103,-2.68771,36,FIDF_1,53.37103,-2.68771,,,,,103,Fiddlers Ferry,1,13,_D
37,37,37,KIBY,53.46896,-2.84636,37,KIBY_1,53.46896,-2.84636,,,,,104,Kirkby (_D),1,13,_D
38,38,38,KIR1,53.46896,-2.84636,38,KIBY_G,53.46896,-2.84636,,,,,133,Kirkby (_G),1,16,_G
39,39,39,LISDDW,53.41838,-2.9228,39,LISD_1,53.41838,-2.9228,,,,,105,Lister Drive,1,13,_D
40,40,40,PENW,53.74634,-2.75658,40,PENW_1,53.74634,-2.75658,,,,,134,Penwortham,1,16,_G
41,41,41,PENE,53.74634,-2.75658,41,PENE_1,53.74634,-2.75658,,,,,134,Penwortham,1,16,_G
42,42,42,RAIN,53.42095,-2.73746,42,RAIN_1,53.42095,-2.73746,,,,,106,Rainhill,1,13,_D
43,43,43,WASF,53.56236,-2.81818,43,WASF_1,53.56236,-2.81818,,,,,135,Washway Farm,1,16,_G
44,44,44,CHIC,50.62406,-2.48521,44,CHIC_1,50.62406,-2.48521,,,,,4,Chickerell,1,20,_H
45,45,45,FOUR,55.01175,-2.16266,45,FOUR_1,55.01175,-2.16266,,,,,116,Fourstones,1,15,_F
46,46,46,FROD,53.30934,-2.71542,46,FROD_1,53.30934,-2.71542,,,,,107,Frodsham,1,13,_D
47,47,47,IMPP,51.54744,-3.02962,47,IMPK_1,51.54744,-3.02962,,,,,108,Imperial Park,1,13,_D
48,48,48,MAGA,51.56246,-3.75272,48,MAGA_6,51.56246,-3.75272,,,,,49,Margam,1,21,_K
49,49,49,PYLEDW,51.53544,-3.68659,49,PYLE_1,51.53544,-3.68659,,,,,50,Pyle,1,21,_K
50,50,50,SALH,54.60537,-1.23616,50,SALH_1,54.60537,-1.23616,,,,,117,Saltholme,1,15,_F
51,51,51,TEMP,53.41178,-1.38428,51,TEMP_3,53.41178,-1.38428,,,,,165,Templeborough,1,23,_M
52,52,52,TRAW,52.9271,-3.94628,52,TRAW_1,52.9271,-3.94628,,,,,109,Trawsfynydd,1,13,_D
53,53,53,TYN5,55.0236,-1.49902,53,TYNE_2,55.0236,-1.49902,,,,,118,Tynemouth,1,15,_F
54,54,54,BICF,52.93046,-0.21951,54,BICF_1,52.93046,-0.21951,,,,,26,Bicker Fen,1,11,_B
55,55,55,BRAI,51.86442,0.57806,55,BRAI_1,51.86442,0.57806,,,,,70,Braintree,1,10,_A
56,56,56,BURWDW,52.28034,0.3151,56,BURM_1,52.28034,0.3151,,,,,71,Burwell Main,1,10,_A
57,57,57,EASO,52.21422,-0.30001,57,EASO_1,52.21422,-0.30001,,,,,72,Eaton Socon,1,10,_A
58,58,58,IVR1,51.54361,-0.49728,58,IVER_1,51.54361,-0.49728,,,,,5,Iver 132kV,1,20,_H
59,59,59,IVR6,51.54361,-0.49728,59,IVER_6,51.54361,-0.49728,,,,,6,Iver 66kV,1,20,_H
60,60,60,KINO,51.41803,0.60007,60,KINO_1,51.41803,0.60007,,,,,151,Kingsnorth,1,19,_J
61,61,61,LALE,51.42324,-0.46904,61,LALE1SG003,51.42324,-0.46904,,,,,7,Laleham,1,20,_H
62,62,62,LODR,51.528355,-0.170383,62,LODR_6,51.528355,-0.170383,,,,,98,Lodge Road,1,12,_C
63,63,63,MILH,51.61738,-0.20697,63,MILH_1,51.61738,-0.20697,,,,,73,Mill Hill,1,10,_A
64,64,64,NHYDDW,51.49941,-0.40981,64,NHYD_6,51.49941,-0.40981,,,,,8,North Hyde,1,20,_H
65,65,65,PELH,51.93467,0.12036,65,PELH_1,51.93467,0.12036,,,,,74,Pelham,1,10,_A
66,66,66,RAYLDW,51.59355,0.56816,66,RAYL_1,51.59355,0.56816,,,,,75,Rayleigh,1,10,_A
67,67,67,RYEH,51.75854,0.01019,67,RYEH_1,51.75854,0.01019,,,,,76,Rye House,1,10,_A
68,68,68,SUND,51.93586,-0.50142,68,SUND_1,51.93586,-0.50142,,,,,77,Sundon,1,10,_A
69,69,69,WARL,51.55232,0.30304,69,WARL_1,51.55232,0.30304,,,,,78,Warley,1,10,_A
70,70,70,WATS,51.64253,-0.40252,70,WATFS_1,51.64253,-0.40252,,,,,79,Watford South,1,10,_A
71,71,71,WTHU,51.47041,0.28966,71,WTHU31,51.47041,0.28966,,,,,80,West Thurrock,1,10,_A
72,72,72,WWEY,51.35286,-0.47801,72,WWEY_1,51.35286,-0.47801,,,,,152,West Weybridge,1,19,_J
73,73,73,WYMODW,51.92672,-0.24865,73,WYMOM_1,51.92672,-0.24865,,,,,81,Wymondley,1,10,_A
74,74,74,BRED,53.41428,-2.12746,74,BRED_1,53.41428,-2.12746,,,,,136,Bredbury,1,16,_G
75,75,75,KER1,53.53738,-2.35604,75,KEAR_1,53.53738,-2.35604,,,,,137,Kearsley,1,16,_G
