name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
Marcinelle Energie (Carsid),DIRECT ENERGIE,,,,BE,413.0,Natural gas,Combined cycle,,,,50.41396,4.40645,22WMARCIN000179H,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Aalst Syral GT,Electrabel,,,,BE,43.0,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Aalst Syral ST,Electrabel,,,,BE,5.0,Natural gas,Steam turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
AALTER TJ,Electrabel,,,,BE,18.0,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Amercoeur 1 R TGV,Electrabel,,,,BE,451.0,Natural gas,Combined cycle,,,,50.43004000000001,4.39518,22WAMERCO000010Y,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
AWIRS 4,Electrabel,,,,BE,95.0,Biomass and biogas,Steam turbine,,,,50.58508,5.41886,,Renewable energy,Bioenergy,Biomass and biogas,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
BEERSE TJ,Electrabel,,,,BE,32.0,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Beveren Ineos Phenolchemie,Electrabel,,,,BE,23.8,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
BUTGENBACH,Electrabel,,,,BE,1.8,Hydro,,,,,,,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
CIERREUX TJ,Electrabel,,,,BE,18.0,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
