eu_planet_id,capacity,lat,long,ecd_unit_id,gcpt_id,gcpt_unit_name,platts_id,ecd_plant_id,eutl_id,eu_planet_plant_name,ecd_unit_name,ecd_fuel_type,ecd_nameplate_capacityw,entsoe_country,entsoe_unit_name,entsoe_fuel_type
1,1500,51.387312,-3.404664,UK-6-1,G100008,Aberthaw-B power station Unit 7,1100137,UK-6,GB 188,Aberthaw-B power station,Aberthaw 1,hard coal,574.63768115942,GB,ABTH7,Fossil Hard coal
10,600,40.61933,21.682777,EL-2-1,G100186,Amyntaio 1,1102041,EL-2,GR 16,Amyntaio power station,Amintaio 1,lignite,300,GR,AMYNDEO1,Fossil Brown coal/Lignite
100,107,48.847759,17.120129,NA,G112616,Hodonin 3,,NA,NA,Hodonin power station,NA,NA,NA,NA,NA,NA
101,164,50.1042525,8.607319,NA,G103909,Hoechst 3,1119697,NA,NA,Hoechst power station,NA,NA,NA,NA,NA,NA
102,50,47.147296,27.717157,NA,G104811,Iasi-2 power station Unit 2,1120755,NA,NA,Iasi-2 power station,NA,NA,NA,NA,NA,NA
103,838,52.28579,7.74601,DE-140-1,G104819,Ibbenbüren-B power station Unit 1,1120780,DE-140,DE 1480,Ibbenbüren-B power station,Ibbenbueren B,hard coal,838,DE,Ibbenbüren B,Fossil Hard coal
104,630,44.38763,23.718195,RO-11-7,G104909,Isalnita power station Unit 7,1110903,RO-11,RO 86,Isalnita power station,Isalnita 7,lignite,315,RO,Isalnita_ISAL7_CA,Fossil Brown coal/Lignite
105,3210,51.835666,14.457808,DE-186-1,G104967,Janschwalde power station Unit A,1122246,DE-186,DE 1456,Janschwalde power station,Jaenschwalde A,lignite,535,DE,KW Jänschwalde Block A,Fossil Brown coal/Lignite
106,140,50.213351,19.22806,PL-69-1,G104992,Jaworzno-2 power station Unit 1,1122339,PL-69,PL 11,Jaworzno-2 power station,NA,NA,NA,NA,NA,NA
107,1345,50.207238,19.205311,PL-70-1,G104995,Jaworzno-3 power station Unit 1,1122346,PL-70,PL 9,Jaworzno-3 power station,Jaworzno 3 B1,hard coal,225,PL,Jaworzno 3 B1,Fossil Hard coal
108,1250,40.410625,21.786145,EL-4-1,G105590,Kardia power station Unit 1,1124003,EL-4,GR 14,Kardia power station,Kardia 1,lignite,300,GR,KARDIA1,Fossil Brown coal/Lignite
109,55,49.8232,18.47851389,CZ-17-1,G105604,Karvina,1159548,CZ-17,CZ 217,Karvina power station,NA,NA,NA,NA,NA,NA
11,976,45.431161,12.246807,IT-24-1,G100196,Andrea Palladio power station Unit 1,1115905,IT-24,IT 275,Andrea Palladio power station,Fusina GR1,hard coal,165,IT,UP_FUSINA_T_1,Fossil Hard coal
110,38,51.27925589,9.48336491,DE-150-1,G105614,Kassel Swew 1,1124206,DE-150,DE 1529,Kassel Swew power station,NA,NA,NA,NA,NA,NA
111,135,50.28568,19.05438,PL-76-1,G105620,Katowice PKE power station Unit 1,1124297,PL-76,PL 64,Katowice PKE power station,Katowice B1,hard coal,135,PL,Katowice B1,Fossil Hard coal
112,354,54.338671,10.176991,DE-152-1,G105733,Kiel-A power station,1125053,DE-152,DE 1210,Kiel power station,Kiel East,hard coal,354,DE,Kiel,Fossil Hard coal
113,40,54.333333,10.133333,NA,G105734,Kiel-Wik 2,1125062,NA,NA,Kiel-Wik power station,NA,NA,NA,NA,NA,NA
114,520,54.724522,-5.767263,UK-85-1,G105743,Kilroot power station Unit 1,1125171,UK-85,GB 578,Kilroot power station,NA,NA,NA,NA,NA,NA
115,405,50.15348733,14.128268,CZ-18-3,G105793,Kladno TG4 ,1125484,CZ-18,CZ 401,Kladno power station,Kladno TG4 (unit 4),lignite,135.3,CZ,EECK_G4____,Fossil Brown coal/Lignite
116,32,50.419167,18.123611,NA,G105810,Koksownicze 3,,NA,NA,Koksownicze power station,NA,NA,NA,NA,NA,NA
117,192,50.522288,13.572102,CZ-24-1,G105840,Komorany II 4,,CZ-24,CZ 112,Komorany power station,NA,NA,NA,NA,NA,NA
118,170,52.283657,18.269475,NA,G105845,Konin power station Unit 2,1125949,NA,NA,Konin power station,NA,NA,NA,NA,NA,NA
119,121,48.698047,21.271726,SK-4-1,G105879,Kosice power station Unit 1,1126141,SK-4,SK 144,Kosice power station,NA,NA,NA,NA,NA,NA
12,365,42.839264,-6.533279,ES-25-1,G100250,Anllares power station Unit 1,1102267,ES-25,ES 273,Anllares power station,Anllares 1,hard coal,365.2,ES,ANLLARES 1,Fossil Hard coal
120,2840,51.667025,21.461976,PL-96-1,G105919,Kozienice power station Unit 1,1126349,PL-96,PL 4,Kozienice power station,Kozienice B1,hard coal,215,PL,Kozienice 1 B1,Fossil Hard coal
121,460,50.054021,20.006018,NA,G105936,Krakow-Leg power station Unit 4,1126415,NA,NA,Krakow-Leg power station,NA,NA,NA,NA,NA,NA
122,116,51.377382,6.65873,DE-215-4,G105963,Krefeld-Uerdingen 4,1162183,DE-215,DE 833,Krefeld-Uerdingen power station,NA,NA,NA,NA,NA,NA
123,60,62.8925,27.678333,NA,G106028,Kuopio 1,,NA,NA,Kuopio power station,NA,NA,NA,NA,NA,NA
124,31,58.41940985,15.62500017,NA,G106051,Kv Linkoping 1,1172584,NA,NA,Kv Linkoping power station,NA,NA,NA,NA,NA,NA
125,50,60.75,26.823611,NA,G106065,Kymenso (Anjalankoski) 2,1179953,NA,NA,Kymenso (Anjalankoski) power station,NA,NA,NA,NA,NA,NA
