account_id,year,tonnes_co2
100000,2005,87923
100000,2006,106745
100000,2007,117404
100000,2008,126296
100000,2009,105795
100000,2010,105034
100000,2011,101784
100000,2012,21384
100000,2013,5671
100001,2005,134139
100001,2006,138143
100001,2007,170415
100001,2008,143182
100001,2009,149405
100001,2010,142121
100001,2011,119263
100001,2012,102751
100001,2013,101881
100001,2014,99012
100001,2015,86687
100001,2016,91519
100001,2017,94729
100001,2018,60363
100001,2019,47925
100001,2020,24983
100005,2005,229
100005,2006,561
100005,2007,497
100005,2008,407
100005,2009,253
100005,2010,732
100005,2011,1142
100005,2012,1518
100005,2013,57
100005,2015,642
100005,2016,944
100005,2017,676
100005,2018,1120
100005,2019,178
100005,2020,322
100006,2006,57
100006,2007,21
100006,2010,85
100006,2011,39
100006,2012,142
100006,2013,42
100006,2014,4
100006,2015,541
100006,2016,211
100006,2017,429
100006,2018,247
100006,2019,293
100006,2020,67
100007,2009,3
100007,2010,5
100007,2011,5
100007,2014,3
100007,2016,16
100007,2017,3
100008,2012,2
100009,2007,3
100009,2008,126
100009,2009,1171
100009,2010,2631
100009,2011,1861
100009,2012,977
100009,2013,142
100009,2014,236
100009,2015,21
100009,2016,453
100009,2017,214
100009,2018,67
100009,2019,76
100009,2020,65
100010,2011,26
100013,2005,6
100013,2006,9
100013,2007,23
100013,2008,10
100013,2009,6
100013,2010,16
100013,2011,3
100013,2012,9
100013,2014,1
100013,2017,26
100013,2018,4
100014,2005,9366
100014,2006,12136
100014,2007,16095
100014,2008,9104
100014,2009,13468
100014,2010,14038
100014,2011,13545
100014,2012,14964
100014,2013,8317
100014,2014,7980
100014,2015,9938
100014,2016,8875
100014,2017,7498
100014,2018,5222
100014,2019,5751
100014,2020,5169
100015,2005,1
100016,2005,1542
100016,2006,198899
100016,2007,2701
100016,2008,2650
100016,2009,2408
100016,2010,3114
100016,2011,1388
100016,2012,291
100016,2013,148
100017,2005,187311
100017,2006,218589
100017,2007,157444
100017,2008,184553
100017,2009,87299
100017,2010,126612
100017,2011,118884
100017,2012,94436
100017,2013,83196
100017,2014,73992
100017,2015,59928
100017,2016,56781
100017,2017,41667
100017,2018,42138
100017,2019,31400
100017,2020,29280
100018,2005,92071
100018,2006,91749
100018,2007,90026
100018,2008,89097
100018,2009,52690
