osuked_id,plant_type,hub_height
10156,offshore,75
10165,offshore,62
10169,offshore,88
10170,offshore,105
10185,offshore,110
10194,offshore,88
10201,offshore,79.5
10204,offshore,80
10206,offshore,98
10214,offshore,80
10215,offshore,101
10219,offshore,100
10221,offshore,87
10229,offshore,100
10233,offshore,90
10234,offshore,80
10235,offshore,80
10239,offshore,132
10242,offshore,151
10246,offshore,88
10248,offshore,102
10250,offshore,90
10251,offshore,90
10290,offshore,102.5
10294,offshore,120
10297,offshore,101
10300,offshore,120
10301,offshore,153
10304,offshore,105
10306,offshore,140
10147,onshore,
10148,onshore,
10149,onshore,
10150,onshore,
10151,onshore,
10152,onshore,
10153,onshore,
10154,onshore,
10155,onshore,
10157,onshore,
10158,onshore,
10159,onshore,
10160,onshore,
10161,onshore,
10162,onshore,
10163,onshore,
10166,onshore,
10167,onshore,
10168,onshore,
10171,onshore,
10172,onshore,
10173,onshore,
10174,onshore,
10175,onshore,60
10176,onshore,
10177,onshore,
10178,onshore,
10179,onshore,
10180,onshore,
10181,onshore,91
10183,onshore,
10184,onshore,
10186,onshore,
10187,onshore,
10188,onshore,
10189,onshore,
10190,onshore,
10191,onshore,
10192,onshore,
10193,onshore,
10195,onshore,
10196,onshore,
10197,onshore,
10198,onshore,
10199,onshore,
10200,onshore,
10202,onshore,
10208,onshore,
10209,onshore,
10210,onshore,
10211,onshore,
10212,onshore,
10213,onshore,
10216,onshore,
10217,onshore,
10218,onshore,
10220,onshore,
10222,onshore,
10223,onshore,
10224,onshore,
10225,onshore,
10226,onshore,
10227,onshore,
10231,onshore,
10232,onshore,
10237,onshore,
10238,onshore,
10240,onshore,
10243,onshore,
10244,onshore,
10252,onshore,
10277,onshore,
10284,onshore,
10288,onshore,
10289,onshore,
10291,onshore,
10292,onshore,
10293,onshore,
10295,onshore,
10296,onshore,
10298,onshore,
10299,onshore,
10302,onshore,
10303,onshore,
10305,onshore,
10307,onshore,
10308,onshore,
10309,onshore,
10310,onshore,
10311,onshore,
